Index,Name,Meaning,Korean,Sex
1,Astrid Stoneheart,Astrid (AS-trid) Stoneheart,아스트리드 스톤하트,
2,Brunhild Ironbraid,Brunhild (BRUN-hild) Ironbraid,브룬힐드 아이언브레이드,
3,Dagna Rockfall,Dagna (DAG-na) Rockfall,다그나 록폴,
4,Elda Hammerborn,Elda (EL-da) Hammerborn,엘다 해머본,
5,Freya Deepmine,Freya (FRAY-a) Deepmine,프레야 딥마인,
6,Grizelda Stoutaxe,Grizelda (GRIZ-el-da) Stoutaxe,그리젤다 스타우트액스,
7,Hilda Stonebrow,Hilda (HIL-da) Stonebrow,힐다 스톤브라우,
8,Ingrid Ironbraid,Ingrid (ING-grid) Ironbraid,잉그리드 아이언브레이드,
9,Kira Goldvein,Kira (KEE-ra) Goldvein,키라 골드베인,
10,Lori Forgeborn,Lori (LOR-ee) Forgeborn,로리 포지본,
11,Mina Deeproot,Mina (MEE-na) Deeproot,미나 딥루트,
12,Olga Gemstone,Olga (OL-ga) Gemstone,올가 젬스톤,
13,Petra Runesmith,Petra (PET-ra) Runesmith,페트라 룬스미스,
14,Ragnild Stoneguard,Ragnild (RAG-nild) Stoneguard,라그닐드 스톤가드,
15,Solveig Thunderfist,Solveig (SOL-vayg) Thunderfist,솔베이그 썬더피스트,
16,Thora Coalfire,Thora (THOR-a) Coalfire,토라 콜파이어,
17,Ursa Boulderkin,Ursa (UR-sa) Boulderkin,우르사 볼더킨,
18,Valda Ironhide,Valda (VAL-da) Ironhide,발다 아이언하이드,
19,Wilma Deepdelver,Wilma (VIL-ma) Deepdelver,윌마 딥델버,
20,Yara Oreheart,Yara (YAR-a) Oreheart,야라 오어하트,
21,Beatrice Stonefist,Beatrice (BEE-a-triss) Stonefist,베아트리스 스톤피스트,
22,Bronwyn Deepvein,Bronwyn (BRON-win) Deepvein,브론윈 딥베인,
23,Celeste Rockfall,Celeste (se-LEST) Rockfall,셀레스트 록폴,
24,Dina Hammerborn,Dina (DEE-na) Hammerborn,디나 해머본,
25,Ember Deepmine,Ember (EM-ber) Deepmine,엠버 딥마인,
26,Finola Stoutaxe,Finola (fin-OH-la) Stoutaxe,피놀라 스타우트액스,
27,Gretel Stonebrow,Gretel (GRET-el) Stonebrow,그레텔 스톤브라우,
28,Hanna Ironbraid,Hanna (HAN-na) Ironbraid,한나 아이언브레이드,
29,Inga Goldvein,Inga (ING-ga) Goldvein,인가 골드베인,
30,Jorunn Forgeborn,Jorunn (JOR-un) Forgeborn,요룬 포지본,
31,Kaelin Deeproot,Kaelin (KAY-lin) Deeproot,카엘린 딥루트,
32,Lilia Gemstone,Lilia (LIL-ee-a) Gemstone,릴리아 젬스톤,
33,Marta Runesmith,Marta (MAR-ta) Runesmith,마르타 룬스미스,
34,Nydia Stoneguard,Nydia (NID-ee-a) Stoneguard,니디아 스톤가드,
35,Orla Thunderfist,Orla (OR-la) Thunderfist,오를라 썬더피스트,
36,Pippa Coalfire,Pippa (PIP-pa) Coalfire,피파 콜파이어,
37,Raisa Boulderkin,Raisa (RAY-za) Boulderkin,라이사 볼더킨,
38,Sabina Ironhide,Sabina (sa-BEE-na) Ironhide,사비나 아이언하이드,
39,Sindri Deepdelver,Sindri (SIN-dree) Deepdelver,신드리 딥델버,
40,Thora Oreheart,Thora (THOR-a) Oreheart,토라 오어하트,
41,Una Stonefist,Una (OO-na) Stonefist,우나 스톤피스트,
42,Vera Deepvein,Vera (VEER-a) Deepvein,베라 딥베인,
43,Willow Rockfall,Willow (WIL-oh) Rockfall,윌로우 록폴,
44,Xenia Hammerborn,Xenia (ZEE-nee-a) Hammerborn,제니아 해머본,
45,Yara Deepmine,Yara (YAR-a) Deepmine,야라 딥마인,
46,Zelda Stoutaxe,Zelda (ZEL-da) Stoutaxe,젤다 스타우트액스,
47,Adeline Stonebrow,Adeline (AD-e-lin) Stonebrow,아델린 스톤브라우,
48,Bronwyn Ironbraid,Bronwyn (BRON-win) Ironbraid,브론윈 아이언브레이드,
49,Clara Goldvein,Clara (KLAIR-a) Goldvein,클라라 골드베인,
50,Doris Forgeborn,Doris (DOR-is) Forgeborn,도리스 포지본,
51,Elara Deeproot,Elara (el-AR-a) Deeproot,엘라라 딥루트,
52,Flora Gemstone,Flora (FLOR-a) Gemstone,플로라 젬스톤,
53,Glynnis Runesmith,Glynnis (GLYN-nis) Runesmith,글린니스 룬스미스,
54,Hanna Stoneguard,Hanna (HAN-na) Stoneguard,한나 스톤가드,
55,Ingrid Thunderfist,Ingrid (ING-grid) Thunderfist,잉그리드 썬더피스트,
